div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
86;PUTUMAYO;2017;132;340750;38.738077769625825;2324;5.679862306368331
86;PUTUMAYO;2016;110;334152;32.91915056620939;2324;4.733218588640275
86;PUTUMAYO;2015;145;327856;44.22673368796057;2324;6.239242685025817
86;PUTUMAYO;2014;217;321850;67.42271244368494;2324;9.33734939759036
86;PUTUMAYO;2013;218;315941;69.00022472550255;2324;9.38037865748709
86;PUTUMAYO;2012;184;310027;59.349669544910604;2324;7.917383820998279
86;PUTUMAYO;2011;162;303929;53.30192248847593;2324;6.970740103270224
86;PUTUMAYO;2010;65;297600;21.841397849462368;2324;2.7969018932874357
94;GUAINÍA;2022;1;52061;1.9208236491807686;34;2.941176470588235
94;GUAINÍA;2021;6;51450;11.661807580174928;34;17.647058823529413
94;GUAINÍA;2020;5;50636;9.874397661742634;34;14.705882352941178
94;GUAINÍA;2019;3;49473;6.063913649869626;34;8.823529411764707
94;GUAINÍA;2018;3;48114;6.235191420376606;34;8.823529411764707
94;GUAINÍA;2017;3;46250;6.486486486486486;34;8.823529411764707
94;GUAINÍA;2016;2;44722;4.472071910916328;34;5.88235294117647
94;GUAINÍA;2015;2;43291;4.6198979002564045;34;5.88235294117647
94;GUAINÍA;2014;3;41946;7.152052639107423;34;8.823529411764707
94;GUAINÍA;2013;5;40638;12.303755106058368;34;14.705882352941178
94;GUAINÍA;2010;1;36793;2.7179082977740334;34;2.941176470588235
99;VICHADA;2023;11;116944;9.406211520043781;242;4.545454545454546
99;VICHADA;2022;19;115778;16.410717061963414;242;7.851239669421488
99;VICHADA;2021;11;114557;9.602206761699415;242;4.545454545454546
99;VICHADA;2020;17;112958;15.049841534021493;242;7.024793388429752
99;VICHADA;2019;20;110599;18.083346142370186;242;8.264462809917356
99;VICHADA;2018;22;107808;20.406648857227665;242;9.090909090909092
99;VICHADA;2017;23;105059;21.892460426998163;242;9.50413223140496
99;VICHADA;2016;15;102663;14.61091142865492;242;6.198347107438017
99;VICHADA;2015;17;100392;16.933620208781576;242;7.024793388429752
99;VICHADA;2014;17;98228;17.306674268029482;242;7.024793388429752
99;VICHADA;2013;17;96057;17.69782524959139;242;7.024793388429752
99;VICHADA;2012;30;93849;31.966243646709074;242;12.396694214876034
99;VICHADA;2011;15;91602;16.375188314665618;242;6.198347107438017
99;VICHADA;2010;8;89314;8.95716237096088;242;3.3057851239669422
50;META;2023;204;1088749;18.73710102144755;4080;5
50;META;2022;284;1080706;26.279117539830445;4080;6.96078431372549
50;META;2021;320;1072412;29.839278187860636;4080;7.8431372549019605
50;META;2020;322;1063454;30.27869564645015;4080;7.8921568627450975
50;META;2019;220;1052125;20.910062967803256;4080;5.392156862745098
50;META;2018;274;1039722;26.353198258765325;4080;6.715686274509804
50;META;2017;284;1021943;27.790199649099804;4080;6.96078431372549
50;META;2016;299;1004633;29.76211213448095;4080;7.32843137254902
50;META;2015;310;987232;31.400927036400763;4080;7.598039215686274
50;META;2014;319;969808;32.89310873904938;4080;7.818627450980392
50;META;2013;320;952101;33.60987962411551;4080;7.8431372549019605
50;META;2012;403;933966;43.14932235220554;4080;9.877450980392156
50;META;2011;389;915277;42.50079484134311;4080;9.534313725490195
50;META;2010;132;896034;14.731583846148695;4080;3.2352941176470593
88;SAN ANDRÉS;2023;29;65663;44.16490260877511;330;8.787878787878787
88;SAN ANDRÉS;2022;29;65228;44.45943459863862;330;8.787878787878787
88;SAN ANDRÉS;2021;35;64672;54.11924789708065;330;10.606060606060606
88;SAN ANDRÉS;2020;45;63692;70.65251522954216;330;13.636363636363635
