div_dpto;departamento;div_mun;municipio;casos;mes;ano
52;Nariño;52390;La Tola;3;Enero - Septiembre;2022
5;Antioquia;5400;La Unión;8;Enero - Septiembre;2022
52;Nariño;52399;La Unión;7;Enero - Septiembre;2022
76;Valle del Cauca;76400;La Unión;31;Enero - Septiembre;2022
15;Boyacá;15403;La Uvita;1;Enero - Septiembre;2022
19;Cauca;19397;La Vega;2;Enero - Septiembre;2022
25;Cundinamarca;25402;La Vega;2;Enero - Septiembre;2022
76;Valle del Cauca;76403;La Victoria;3;Enero - Septiembre;2022
66;Risaralda;66400;La Virginia;7;Enero - Septiembre;2022
54;Norte de Santander;54377;Labateca;2;Enero - Septiembre;2022
68;Santander;68385;Landázuri;10;Enero - Septiembre;2022
68;Santander;68406;Lebrija;4;Enero - Septiembre;2022
52;Nariño;52405;Leiva;4;Enero - Septiembre;2022
50;Meta;50400;Lejanías;6;Enero - Septiembre;2022
25;Cundinamarca;25407;Lenguazaque;1;Enero - Septiembre;2022
73;Tolima;73408;Lérida;7;Enero - Septiembre;2022
91;Amazonas;91001;Leticia;24;Enero - Septiembre;2022
73;Tolima;73411;Líbano;6;Enero - Septiembre;2022
5;Antioquia;5411;Liborina;1;Enero - Septiembre;2022
52;Nariño;52411;Linares;3;Enero - Septiembre;2022
27;Chocó;27413;Lloró;2;Enero - Septiembre;2022
19;Cauca;19418;López de Micay;3;Enero - Septiembre;2022
23;Córdoba;23417;Lorica;17;Enero - Septiembre;2022
52;Nariño;52418;Los Andes;2;Enero - Septiembre;2022
23;Córdoba;23419;Los Córdobas;1;Enero - Septiembre;2022
54;Norte de Santander;54405;Los Patios;4;Enero - Septiembre;2022
68;Santander;68418;Los Santos;1;Enero - Septiembre;2022
8;Atlántico;8421;Luruaco;2;Enero - Septiembre;2022
5;Antioquia;5425;Maceo;8;Enero - Septiembre;2022
25;Cundinamarca;25430;Madrid;9;Enero - Septiembre;2022
13;Bolívar;13430;Magangué;15;Enero - Septiembre;2022
52;Nariño;52427;Magüí;6;Enero - Septiembre;2022
13;Bolívar;13433;Mahates;2;Enero - Septiembre;2022
44;La Guajira;44430;Maicao;38;Enero - Septiembre;2022
70;Sucre;70429;Majagual;3;Enero - Septiembre;2022
68;Santander;68432;Málaga;1;Enero - Septiembre;2022
8;Atlántico;8433;Malambo;50;Enero - Septiembre;2022
52;Nariño;52435;Mallama;9;Enero - Septiembre;2022
8;Atlántico;8436;Manatí;2;Enero - Septiembre;2022
44;La Guajira;44560;Manaure;3;Enero - Septiembre;2022
20;Cesar;20443;Manaure Balcón del Cesar;2;Enero - Septiembre;2022
85;Casanare;85139;Maní;12;Enero - Septiembre;2022
17;Caldas;17001;Manizales;28;Enero - Septiembre;2022
17;Caldas;17433;Manzanares;4;Enero - Septiembre;2022
50;Meta;50325;Mapiripán;9;Enero - Septiembre;2022
13;Bolívar;13440;Margarita;2;Enero - Septiembre;2022
13;Bolívar;13442;María La Baja;12;Enero - Septiembre;2022
5;Antioquia;5440;Marinilla;14;Enero - Septiembre;2022
73;Tolima;73443;Mariquita;11;Enero - Septiembre;2022
17;Caldas;17442;Marmato;6;Enero - Septiembre;2022
17;Caldas;17444;Marquetalia;1;Enero - Septiembre;2022
66;Risaralda;66440;Marsella;3;Enero - Septiembre;2022
5;Antioquia;5001;Medellín;270;Enero - Septiembre;2022
25;Cundinamarca;25438;Medina;2;Enero - Septiembre;2022
27;Chocó;27425;Medio Atrato;5;Enero - Septiembre;2022
27;Chocó;27450;Medio San Juan;5;Enero - Septiembre;2022
73;Tolima;73449;Melgar;9;Enero - Septiembre;2022
19;Cauca;19450;Mercaderes;15;Enero - Septiembre;2022
50;Meta;50330;Mesetas;3;Enero - Septiembre;2022
18;Caquetá;18460;Milán;1;Enero - Septiembre;2022
95;Guaviare;95200;Miraflores;4;Enero - Septiembre;2022
19;Cauca;19455;Miranda;25;Enero - Septiembre;2022
66;Risaralda;66456;Mistrató;3;Enero - Septiembre;2022
97;Vaupés;97001;Mitú;2;Enero - Septiembre;2022
86;Putumayo;86001;Mocoa;6;Enero - Septiembre;2022
68;Santander;68464;Mogotes;2;Enero - Septiembre;2022
68;Santander;68468;Molagavita;1;Enero - Septiembre;2022
23;Córdoba;23464;Momil;3;Enero - Septiembre;2022
13;Bolívar;13468;Mompós;6;Enero - Septiembre;2022
5;Antioquia;5467;Montebello;1;Enero - Septiembre;2022
13;Bolívar;13458;Montecristo;2;Enero - Septiembre;2022
23;Córdoba;23466;Montelíbano;15;Enero - Septiembre;2022
63;Quindio;63470;Montenegro;10;Enero - Septiembre;2022
23;Córdoba;23001;Montería;80;Enero - Septiembre;2022
85;Casanare;85162;Monterrey;2;Enero - Septiembre;2022
23;Córdoba;23500;Moñitos;1;Enero - Septiembre;2022
13;Bolívar;13473;Morales;1;Enero - Septiembre;2022
19;Cauca;19473;Morales;16;Enero - Septiembre;2022
70;Sucre;70473;Morroa;4;Enero - Septiembre;2022
25;Cundinamarca;25473;Mosquera;6;Enero - Septiembre;2022
15;Boyacá;15476;Motavita;1;Enero - Septiembre;2022
73;Tolima;73461;Murillo;2;Enero - Septiembre;2022
5;Antioquia;5475;Murindó;1;Enero - Septiembre;2022
5;Antioquia;5480;Mutatá;7;Enero - Septiembre;2022
15;Boyacá;15480;Muzo;1;Enero - Septiembre;2022
5;Antioquia;5483;Nariño;2;Enero - Septiembre;2022
25;Cundinamarca;25483;Nariño;1;Enero - Septiembre;2022
73;Tolima;73483;Natagaima;2;Enero - Septiembre;2022
5;Antioquia;5495;Nechí;1;Enero - Septiembre;2022
5;Antioquia;5490;Necoclí;7;Enero - Septiembre;2022
17;Caldas;17486;Neira;3;Enero - Septiembre;2022
41;Huila;41001;Neiva;68;Enero - Septiembre;2022
25;Cundinamarca;25486;Nemocón;2;Enero - Septiembre;2022
25;Cundinamarca;25491;Nocaima;1;Enero - Septiembre;2022
17;Caldas;17495;Norcasia;2;Enero - Septiembre;2022
13;Bolívar;13490;Norosí;4;Enero - Septiembre;2022
27;Chocó;27491;Nóvita;5;Enero - Septiembre;2022
