div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep
5;Antioquia;5079;Barbosa;2022;Febrero;Total;56053;2;3.5680516653881145;0.1932367149758454;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2022;Julio;Total;56053;1;1.7840258326940572;0.08361204013377926;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2022;Junio;Total;56053;3;5.352077498082172;0.29069767441860467;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2022;Marzo;Total;56053;1;1.7840258326940572;0.09242144177449169;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2022;Mayo;Total;56053;4;7.136103330776229;0.3395585738539898;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2022;Octubre;Total;56053;1;1.7840258326940572;0.08703220191470844;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2022;Septiembre;Total;56053;2;3.5680516653881145;0.18298261665141813;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2023;Abril;Total;56928;2;3.5132096683530074;0.19342359767891684;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2023;Enero;Total;56928;2;3.5132096683530074;0.18181818181818182;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2023;Julio;Total;56928;1;1.7566048341765037;0.08326394671107411;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2023;Junio;Total;56928;1;1.7566048341765037;0.088261253309797;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2023;Mayo;Total;56928;1;1.7566048341765037;0.08944543828264759;Barbosa - Antioquia
5;Antioquia;5086;Belmira;2022;Febrero;Total;6307;1;15.855398763278897;0.0966183574879227;Belmira - Antioquia
5;Antioquia;5086;Belmira;2022;Mayo;Total;6307;1;15.855398763278897;0.08488964346349745;Belmira - Antioquia
5;Antioquia;5086;Belmira;2023;Junio;Total;6405;2;31.2256049960968;0.176522506619594;Belmira - Antioquia
5;Antioquia;5088;Bello;2022;Abril;Total;569488;3;0.5267889753603237;0.2643171806167401;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Agosto;Total;569488;4;0.7023853004804316;0.3683241252302026;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Diciembre;Total;569488;4;0.7023853004804316;0.33222591362126247;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Enero;Total;569488;1;0.1755963251201079;0.08605851979345956;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Febrero;Total;569488;2;0.3511926502402158;0.1932367149758454;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Julio;Total;569488;6;1.0535779507206473;0.5016722408026756;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Junio;Total;569488;8;1.4047706009608631;0.7751937984496124;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Marzo;Total;569488;4;0.7023853004804316;0.36968576709796674;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Mayo;Total;569488;4;0.7023853004804316;0.3395585738539898;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Noviembre;Total;569488;8;1.4047706009608631;0.7339449541284404;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Octubre;Total;569488;6;1.0535779507206473;0.5221932114882507;Bello - Antioquia
5;Antioquia;5088;Bello;2022;Septiembre;Total;569488;6;1.0535779507206473;0.5489478499542544;Bello - Antioquia
5;Antioquia;5088;Bello;2023;Abril;Total;578376;6;1.0373874434623844;0.5802707930367506;Bello - Antioquia
5;Antioquia;5088;Bello;2023;Enero;Total;578376;2;0.34579581448746144;0.18181818181818182;Bello - Antioquia
5;Antioquia;5088;Bello;2023;Febrero;Total;578376;4;0.6915916289749229;0.4123711340206186;Bello - Antioquia
5;Antioquia;5088;Bello;2023;Julio;Total;578376;6;1.0373874434623844;0.4995836802664446;Bello - Antioquia
5;Antioquia;5088;Bello;2023;Junio;Total;578376;3;0.5186937217311922;0.264783759929391;Bello - Antioquia
5;Antioquia;5088;Bello;2023;Marzo;Total;578376;3;0.5186937217311922;0.27932960893854747;Bello - Antioquia
5;Antioquia;5088;Bello;2023;Mayo;Total;578376;6;1.0373874434623844;0.5366726296958855;Bello - Antioquia
5;Antioquia;5091;Betania;2022;Agosto;Total;10605;1;9.42951438000943;0.09208103130755065;Betania - Antioquia
5;Antioquia;5091;Betania;2022;Diciembre;Total;10605;1;9.42951438000943;0.08305647840531562;Betania - Antioquia
5;Antioquia;5091;Betania;2022;Febrero;Total;10605;1;9.42951438000943;0.0966183574879227;Betania - Antioquia
5;Antioquia;5091;Betania;2022;Julio;Total;10605;1;9.42951438000943;0.08361204013377926;Betania - Antioquia
5;Antioquia;5091;Betania;2022;Noviembre;Total;10605;1;9.42951438000943;0.09174311926605505;Betania - Antioquia
5;Antioquia;5091;Betania;2022;Octubre;Total;10605;1;9.42951438000943;0.08703220191470844;Betania - Antioquia
5;Antioquia;5091;Betania;2023;Enero;Total;10770;1;9.285051067780872;0.09090909090909091;Betania - Antioquia
5;Antioquia;5091;Betania;2023;Febrero;Total;10770;1;9.285051067780872;0.10309278350515465;Betania - Antioquia
5;Antioquia;5091;Betania;2023;Julio;Total;10770;1;9.285051067780872;0.08326394671107411;Betania - Antioquia
5;Antioquia;5091;Betania;2023;Mayo;Total;10770;1;9.285051067780872;0.08944543828264759;Betania - Antioquia
5;Antioquia;5093;Betulia;2022;Abril;Total;16392;1;6.100536847242558;0.0881057268722467;Betulia - Antioquia
5;Antioquia;5093;Betulia;2022;Agosto;Total;16392;1;6.100536847242558;0.09208103130755065;Betulia - Antioquia
5;Antioquia;5093;Betulia;2022;Junio;Total;16392;1;6.100536847242558;0.09689922480620156;Betulia - Antioquia
5;Antioquia;5093;Betulia;2022;Marzo;Total;16392;1;6.100536847242558;0.09242144177449169;Betulia - Antioquia
5;Antioquia;5093;Betulia;2022;Octubre;Total;16392;1;6.100536847242558;0.08703220191470844;Betulia - Antioquia
5;Antioquia;5093;Betulia;2023;Julio;Total;16648;3;18.020182604517057;0.2497918401332223;Betulia - Antioquia
5;Antioquia;5093;Betulia;2023;Junio;Total;16648;1;6.00672753483902;0.088261253309797;Betulia - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Abril;Total;27134;3;11.056239404437237;0.2643171806167401;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Agosto;Total;27134;2;7.370826269624825;0.1841620626151013;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Diciembre;Total;27134;2;7.370826269624825;0.16611295681063123;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Febrero;Total;27134;2;7.370826269624825;0.1932367149758454;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Julio;Total;27134;2;7.370826269624825;0.16722408026755853;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Junio;Total;27134;2;7.370826269624825;0.1937984496124031;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Marzo;Total;27134;2;7.370826269624825;0.18484288354898337;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Mayo;Total;27134;1;3.6854131348124124;0.08488964346349745;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Noviembre;Total;27134;1;3.6854131348124124;0.09174311926605505;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Octubre;Total;27134;4;14.74165253924965;0.34812880765883375;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2022;Septiembre;Total;27134;2;7.370826269624825;0.18298261665141813;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2023;Enero;Total;27557;8;29.030736292049205;0.7272727272727273;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2023;Febrero;Total;27557;4;14.515368146024603;0.4123711340206186;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2023;Julio;Total;27557;1;3.6288420365061507;0.08326394671107411;Ciudad Bolívar - Antioquia
5;Antioquia;5101;Ciudad Bolívar;2023;Marzo;Total;27557;1;3.6288420365061507;0.0931098696461825;Ciudad Bolívar - Antioquia
