div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep;concat;CambioCasos;CambioPor;Indicador;PDET;CATEGORIA
99;Vichada;99001;Puerto Carreño;2022;Diciembre;Total;20798;1;4.808154630252909;0.0830564784053156;Puerto Carreño-Vichada;99001-Diciembre-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Agosto;Total;21007;2;9.520635978483362;0.1739130434782608;Puerto Carreño-Vichada;99001-Agosto-2023;2.0;200.0;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Agosto;Total;20798;0;0.0;0.0;Puerto Carreño-Vichada;99001-Agosto-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Abril;Total;21007;1;4.760317989241681;0.0964320154291224;Puerto Carreño-Vichada;99001-Abril-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Abril;Total;20798;1;4.808154630252909;0.0881057268722467;Puerto Carreño-Vichada;99001-Abril-2022;F;F;MAYOR;N/A;6
97;Vaupés;97889;Yavaraté (CD);2023;Septiembre;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Septiembre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Septiembre;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Septiembre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Octubre;Total;1271;0;0.0;;Yavaraté (CD)-Vaupés;97889-Octubre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Octubre;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Octubre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Noviembre;Total;1271;0;0.0;;Yavaraté (CD)-Vaupés;97889-Noviembre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Noviembre;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Noviembre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Mayo;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Mayo-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Mayo;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Mayo-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Marzo;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Marzo-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Marzo;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Marzo-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Junio;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Junio-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Junio;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Junio-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Julio;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Julio-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Julio;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Julio-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Febrero;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Febrero-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Febrero;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Febrero-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Enero;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Enero-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Enero;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Enero-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Diciembre;Total;1271;0;0.0;;Yavaraté (CD)-Vaupés;97889-Diciembre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Diciembre;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Diciembre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Agosto;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Agosto-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Agosto;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Agosto-2022;F;F;MAYOR;N/A;null
97;Vaupés;97889;Yavaraté (CD);2023;Abril;Total;1271;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Abril-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97889;Yavaraté (CD);2022;Abril;Total;1211;0;0.0;0.0;Yavaraté (CD)-Vaupés;97889-Abril-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Septiembre;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Septiembre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Septiembre;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Septiembre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Octubre;Total;899;0;0.0;;Papunahua (CD)-Vaupés;97777-Octubre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Octubre;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Octubre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Noviembre;Total;899;0;0.0;;Papunahua (CD)-Vaupés;97777-Noviembre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Noviembre;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Noviembre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Mayo;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Mayo-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Mayo;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Mayo-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Marzo;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Marzo-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Marzo;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Marzo-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Junio;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Junio-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Junio;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Junio-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Julio;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Julio-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Julio;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Julio-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Febrero;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Febrero-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Febrero;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Febrero-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Enero;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Enero-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Enero;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Enero-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Diciembre;Total;899;0;0.0;;Papunahua (CD)-Vaupés;97777-Diciembre-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Diciembre;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Diciembre-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Agosto;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Agosto-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Agosto;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Agosto-2022;F;F;MAYOR;N/A;null
97;Vaupés;97777;Papunahua (CD);2023;Abril;Total;899;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Abril-2023;0.0;0.0;IGUAL;N/A;null
97;Vaupés;97777;Papunahua (CD);2022;Abril;Total;857;0;0.0;0.0;Papunahua (CD)-Vaupés;97777-Abril-2022;F;F;MAYOR;N/A;null
97;Vaupés;97666;Taraira;2023;Septiembre;Total;2765;0;0.0;0.0;Taraira-Vaupés;97666-Septiembre-2023;0.0;0.0;IGUAL;N/A;6
97;Vaupés;97666;Taraira;2022;Septiembre;Total;2647;0;0.0;0.0;Taraira-Vaupés;97666-Septiembre-2022;F;F;MAYOR;N/A;6
97;Vaupés;97666;Taraira;2023;Octubre;Total;2765;0;0.0;;Taraira-Vaupés;97666-Octubre-2023;0.0;0.0;IGUAL;N/A;6
97;Vaupés;97666;Taraira;2022;Octubre;Total;2647;0;0.0;0.0;Taraira-Vaupés;97666-Octubre-2022;F;F;MAYOR;N/A;6
97;Vaupés;97666;Taraira;2023;Noviembre;Total;2765;0;0.0;;Taraira-Vaupés;97666-Noviembre-2023;-1.0;-100.0;MENOR;N/A;6
97;Vaupés;97666;Taraira;2022;Noviembre;Total;2647;1;37.778617302606726;0.091743119266055;Taraira-Vaupés;97666-Noviembre-2022;F;F;MAYOR;N/A;6
97;Vaupés;97666;Taraira;2023;Mayo;Total;2765;0;0.0;0.0;Taraira-Vaupés;97666-Mayo-2023;0.0;0.0;IGUAL;N/A;6
97;Vaupés;97666;Taraira;2022;Mayo;Total;2647;0;0.0;0.0;Taraira-Vaupés;97666-Mayo-2022;F;F;MAYOR;N/A;6
97;Vaupés;97666;Taraira;2023;Marzo;Total;2765;0;0.0;0.0;Taraira-Vaupés;97666-Marzo-2023;0.0;0.0;IGUAL;N/A;6
97;Vaupés;97666;Taraira;2022;Marzo;Total;2647;0;0.0;0.0;Taraira-Vaupés;97666-Marzo-2022;F;F;MAYOR;N/A;6
97;Vaupés;97666;Taraira;2023;Junio;Total;2765;0;0.0;0.0;Taraira-Vaupés;97666-Junio-2023;0.0;0.0;IGUAL;N/A;6
