departamento;ano;casos;proyeccion;tasa;CambioConteo;CambioCasos;CambioCasosPor
NORTE DE SANTANDER;2017;514;1446748;35.52795649276861;Menor;1.0;0.19417475728155864
NORTE DE SANTANDER;2016;515;1424761;36.1464133282705;Mayor;144.0;38.81401617250674
NORTE DE SANTANDER;2015;371;1409900;26.313922973260517;Menor;38.0;9.29095354523227
NORTE DE SANTANDER;2014;409;1401015;29.193120701776923;Menor;106.0;20.58252427184466
NORTE DE SANTANDER;2013;515;1392708;36.9783184989244;Menor;114.0;18.12400635930048
NORTE DE SANTANDER;2012;629;1383705;45.45766619329987;Mayor;58.0;10.157618213660243
NORTE DE SANTANDER;2011;571;1374254;41.54981539075018;Mayor;422.0;283.22147651006713
NORTE DE SANTANDER;2010;149;1363889;10.924642694530126;NA;NA;NA
CALDAS;2023;70;1046418;6.689487375026042;Menor;71.0;50.354609929078016
CALDAS;2022;141;1036455;13.604063852265655;Menor;35.0;19.88636363636364
CALDAS;2021;176;1027314;17.13205504840779;Menor;4.0;2.2222222222222285
CALDAS;2020;180;1018453;17.673864184208796;Mayor;18.0;11.111111111111114
CALDAS;2019;162;1008344;16.065945748673073;Menor;40.0;19.801980198019805
CALDAS;2018;202;998255;20.235310617026716;Mayor;13.0;6.878306878306873
CALDAS;2017;189;991363;19.06466148121324;Menor;26.0;12.093023255813947
CALDAS;2016;215;987214;21.778459381653825;Menor;5.0;2.2727272727272663
CALDAS;2015;220;984360;22.349546913730748;Menor;53.0;19.413919413919416
CALDAS;2014;273;982933;27.77401918543787;Menor;30.0;9.900990099009903
CALDAS;2013;303;982563;30.83771727614413;Menor;15.0;4.716981132075475
CALDAS;2012;318;982904;32.35310874714113;Menor;11.0;3.3434650455927084
CALDAS;2011;329;983498;33.45202532186136;Mayor;194.0;143.7037037037037
CALDAS;2010;135;984304;13.715274955704745;NA;NA;NA
SANTANDER;2023;244;2340657;10.424423569963476;Menor;144.0;37.11340206185567
SANTANDER;2022;388;2324090;16.694706315159912;Mayor;57.0;17.220543806646532
SANTANDER;2021;331;2306455;14.35102787611291;Igual;0.0;0.0
SANTANDER;2020;331;2280908;14.51176461304007;Mayor;29.0;9.602649006622514
SANTANDER;2019;302;2237587;13.496681916725471;Mayor;62.0;25.83333333333333
SANTANDER;2018;240;2184837;10.984801154502602;Igual;0.0;0.0
SANTANDER;2017;240;2146496;11.181013148871465;Menor;39.0;13.97849462365592
SANTANDER;2016;279;2119954;13.16066292004449;Mayor;2.0;0.7220216606498155
SANTANDER;2015;277;2097069;13.208912057733912;Menor;32.0;10.355987055016186
SANTANDER;2014;309;2077348;14.874734517278762;Menor;41.0;11.714285714285708
SANTANDER;2013;350;2057952;17.007199390461974;Mayor;39.0;12.540192926045023
SANTANDER;2012;311;2038122;15.259145428978243;Menor;14.0;4.307692307692307
SANTANDER;2011;325;2017680;16.107608738749455;Mayor;177.0;119.59459459459458
